Strategy,Flux,Biomass,N_of_deletions,C_limit
"['RNDR4', 'NDPK6', 'GLUSfx', 'IPDPS']",0.2057407352350192,0.0105633453406387,4,11
"['RNDR4', 'NDPK6', 'GLYCK', 'GLUCYS']",0.2057409656884683,0.0105633453418196,4,11
"['RNDR4', 'NDPK6', 'FNOR', 'ALAD_L']",0.2057411193982261,0.0105633453418196,4,11
"['RNDR4', 'NDPK6', 'PSP_L', 'ACM6PH']",0.2057400000000115,0.0105633453431763,4,11
"['RNDR4', 'NDPK6', 'ACGAMK', 'FBA3']",0.2057403687369595,0.0105633453418196,4,11
"['RNDR4', 'NDPK6', 'PGCD', 'G6PDA']",0.2057413571934513,0.0105633453418196,4,11
"['RNDR4', 'NDPK6', 'PGCD', 'FBP']",0.2057405233501097,0.0105633453431763,4,11
"['RNDR4', 'PPA', 'TALA', 'DCTPD']",0.2057419495380769,0.0105633453418196,4,11
"['RNDR4', 'PYK', 'GLYCK', 'NDPK6']",0.205740135157617,0.0105633453312017,4,11
"['RNDR4', 'NDPK6', 'ACGAMK', 'OPAH']",0.2057405969593702,0.0105633453418196,4,11
"['RNDR4', 'FBA', 'DCTPD', 'LDH_D']",0.2057417312324095,0.0105633453418196,4,11
"['RNDR4', 'PPA', 'GLUSfx', 'DCTPD']",0.2057411590676499,0.0105633453431763,4,11
"['RNDR4', 'PGCD', 'FBA3', 'DCTPD']",0.2057407314673812,0.0105633453431763,4,11
"['RNDR4', 'FBA', 'PDH', 'NDPK6']",0.205741426121018,0.0105633453418196,4,11
"['RNDR4', 'TALA', 'ALAD_L', 'DCTPD']",0.2057408142842867,0.0105633453431763,4,11
"['PSERT', 'GART', 'FDH6']",0.2057421344103572,0.0105633452973067,3,11
"['PSERT', 'G6PDH2r', 'ALAD_L']",0.1896122774741046,0.0180166847321519,3,11
"['FDH6', 'GART', 'IPDDI']",0.2057408587665252,0.0105633453431763,3,11
"['FDH6', 'PSP_L', 'GART', 'AMPTASECG']",0.2057414483925642,0.0105633453431763,4,11
"['FDH6', 'AGDC', 'GND', 'GART']",0.2057400000000001,0.0105633453431763,4,11
"['GLUSfx', 'PYK', 'GART', 'FDH6']",0.2057413339269264,0.0105633453431763,4,11
"['ASPO5', 'PYK', 'FDH6', 'GND', 'GART']",0.2057405969590772,0.0105633453418196,5,11
"['FDH6', 'GART', 'ANHMK', 'AMPTASECG', 'PSP_L']",0.2057399999999998,0.0105633453431763,5,11
"['PSERT', 'FDH6', 'GND', 'GART', 'ANHMK']",0.2057422027624617,0.0105633453406387,5,11
"['GLUSfx', 'PYK', 'FDH6', 'GART', 'ANHMK']",0.2057405551919017,0.0105633453431763,5,11
"['RNDR4', 'AGDC', 'SPTr', 'DCTPD']",0.2057407915229578,0.0105633453418196,4,11
"['RNDR4', 'AGDC', 'FBP', 'DCTPD']",0.2057409266552143,0.0105633453418196,4,11
"['RNDR4', 'GLCS3', 'ANHMK', 'DCTPD']",0.2057413233178091,0.0105633453431763,4,11
"['RNDR4', 'ALAD_L', 'FBP', 'DCTPD']",0.2057411888190961,0.0105633453406387,4,11
"['ALAGLUE', 'ACODA', 'RNDR4', 'DCTPD']",0.2057404227889903,0.0105633453431763,4,11
"['FDH6', 'GART', 'FBP', 'TRPS3']",0.2057405579212794,0.0105633453431763,4,11
"['FDH6', 'CAT', 'GART', 'VPAMTr']",0.2057410060509205,0.0105633453431763,4,11
"['RNDR4', 'G6PDH2r', 'ORNTAC', 'FBP', 'DCTPD']",0.2057417753674635,0.0105633453406387,5,11
"['FBA', 'RNDR4', 'PYK', 'G6PDH2r', 'DCTPD']",0.2057409656930525,0.0105633453418196,5,11
"['FBA', 'HEX7', 'RNDR4', 'DCTPD', 'VPAMTr']",0.2057405429051278,0.0105633453431763,5,11
"['RNDR4', 'NDPK6', 'ORNTAC']",0.2057399999998867,0.0105633453431763,3,11
"['RNDR4', 'NDPK6', 'PGL']",0.2057401351315951,0.0105633453431763,3,11
"['RNDR4', 'PPA', 'NDPK6']",0.2057413941300894,0.0105633453431763,3,11
"['FDH6', 'GART', 'VALTA']",0.2057405969534194,0.0105633453431763,3,11
"['RNDR4', 'NDPK6', 'GLUCYS']",0.2057411001880398,0.0105633453431763,3,11
"['RNDR4', 'NDPK6', 'PDH']",0.2057411590647591,0.0105633453418196,3,11
"['RNDR4', 'NDPK6', 'ALAD_L']",0.2057399999998335,0.0105633453431763,3,11
"['RNDR4', 'NDPK6', 'FDH6']",0.2057405832655165,0.0105633453431763,3,11
"['RNDR4', 'NDPK6', 'DMPPS_syn']",0.2057411590645524,0.0105633453431763,3,11
"['GLUSfx', 'RNDR4', 'NDPK6', 'ALAD_L', 'TRDR']",0.2057400000623901,0.0105633453142999,5,11
"['RNDR4', 'NDPK6', 'ACGS']",0.2057409248419642,0.0105633453431763,3,10
"['RNDR4', 'NDPK6', 'FNOR']",0.205741293567169,0.0105633453431763,3,10
"['RNDR4', 'NDPK6', 'FBA']",0.2057411001927911,0.0105633453431763,3,10
"['FDH6', 'GART', 'DMPPS_syn']",0.2057412338584628,0.0105633453418196,3,10
"['RNDR4', 'SBP', 'NDPK6']",0.205740542905829,0.0105633453431763,3,10
"['GLUSfx', 'FDH6', 'GART']",0.2057410689145061,0.0105633453406387,3,10
"['GLUSfx', 'NDPK6', 'RNDR4']",0.2057405969649495,0.0105633453418196,3,10
"['RNDR4', 'NDPK6', 'PSP_L']",0.205739999999936,0.0105633453431763,3,10
"['FDH6', 'AGDC', 'GART']",0.2057404227913017,0.0105633453406387,3,10
"['RNDR4', 'NDPK6', 'PGL']",0.2057408591946977,0.0105633453431763,3,10
"['RNDR4', 'AGDC', 'DCTPD']",0.205741314728215,0.0105633453431763,3,10
"['RNDR4', 'G6PDH2r', 'DCTPD']",0.2057417312291715,0.0105633453431763,3,10
"['RNDR4', 'FBA', 'DCTPD']",0.205740911657688,0.0105633453312017,3,10
"['RNDR4', 'GLYCOR_nadp', 'DCTPD']",0.2057404227838127,0.0105633453431763,3,10
"['RNDR4', 'FNOR', 'DCTPD']",0.2057413571874315,0.0105633453431763,3,10
"['RNDR4', 'TALA', 'DCTPD']",0.20574079152331,0.0105633453418196,3,10
"['RNDR4', 'PSP_L', 'DCTPD']",0.2057412622757518,0.0105633453431763,3,10
"['RNDR4', 'GLUSfx', 'DCTPD']",0.2057409884594306,0.0105633453418196,3,10
"['RNDR4', 'FUM', 'DCTPD']",0.2043545153376939,0.0105633453406387,3,10
"['RNDR4', 'ALAD_L', 'DCTPD']",0.2057414165493217,0.0105633453431763,3,10
"['PEPC', 'GART', 'FDH6']",0.2057410253939264,0.0105633453431763,3,10
"['RNDR4', 'PEPC', 'DCTPD']",0.2057407574374864,0.0105633453431763,3,10
"['RNDR4', 'FBA', 'DCTPD']",0.2057405832656772,0.0105633453431763,3,10
"['GTHPi', 'GART', 'FDH6']",0.2057407362863768,0.0105633453418196,3,10
"['RNDR4', 'AMPTASECG', 'DCTPD']",0.2057414564240951,0.0105633453418196,3,10
